Timestamp,Package,Phase Function,Status
22312.21,systemd-247.2-r4,pkg_pretend,BEGIN
22313.51,systemd-247.2-r4,pkg_pretend,END
22314.16,python-3.10.0_alpha5,pkg_pretend,BEGIN
22314.17,python-3.10.0_alpha5,pkg_pretend,END
22314.75,pidgin-2.14.1,pkg_pretend,BEGIN
22314.76,pidgin-2.14.1,pkg_pretend,END
22315.34,coreutils-8.32-r1,pkg_setup,BEGIN
22315.34,coreutils-8.32-r1,pkg_setup,END
22315.57,coreutils-8.32-r1,src_unpack,BEGIN
22315.98,coreutils-8.32-r1,src_unpack,END
22316.21,coreutils-8.32-r1,src_prepare,BEGIN
22316.34,coreutils-8.32-r1,src_prepare,END
22316.57,coreutils-8.32-r1,src_configure,BEGIN
22370.87,coreutils-8.32-r1,src_configure,END
22371.13,coreutils-8.32-r1,src_compile,BEGIN
22374.01,coreutils-8.32-r1,src_compile,END
22374.46,coreutils-8.32-r1,src_install,BEGIN
22376.79,coreutils-8.32-r1,src_install,END
22379.31,coreutils-8.32-r1,pkg_preinst,BEGIN
22379.31,coreutils-8.32-r1,pkg_preinst,END
22383.97,coreutils-8.32-r1,pkg_postinst,BEGIN
22383.97,coreutils-8.32-r1,pkg_postinst,END
22387.02,systemd-247.2-r4,pkg_setup,BEGIN
22387.03,systemd-247.2-r4,pkg_setup,END
22387.28,systemd-247.2-r4,src_unpack,BEGIN
22387.67,systemd-247.2-r4,src_unpack,END
22387.92,systemd-247.2-r4,src_prepare,BEGIN
22387.94,systemd-247.2-r4,src_prepare,END
22388.16,systemd-247.2-r4,src_configure,BEGIN
22396.64,systemd-247.2-r4,src_configure,END
22396.88,systemd-247.2-r4,src_compile,BEGIN
22417.93,systemd-247.2-r4,src_compile,END
22418.42,systemd-247.2-r4,src_install,BEGIN
22421.46,systemd-247.2-r4,src_install,END
22424.71,systemd-247.2-r4,pkg_preinst,BEGIN
22424.72,systemd-247.2-r4,pkg_preinst,END
22430.40,systemd-247.2-r4,pkg_postinst,BEGIN
22430.82,systemd-247.2-r4,pkg_postinst,END
22433.84,jq-1.7_pre20201109,pkg_setup,BEGIN
22433.84,jq-1.7_pre20201109,pkg_setup,END
22434.05,jq-1.7_pre20201109,src_unpack,BEGIN
22434.11,nano-5.5,pkg_setup,BEGIN
22434.11,nano-5.5,pkg_setup,END
22434.14,jq-1.7_pre20201109,src_unpack,END
